"id","имя","ссылка","регулярная цена","промо цена"
"31285","Груши сезонные","https://online.metro-cc.ru/products/grusha-sortovaya-31285","269",""
"470282","Виноград красный без косточек","https://online.metro-cc.ru/products/art_470282","459","499"
"410422","Апельсины отборные","https://online.metro-cc.ru/products/apelsiny-otbornye-setka-410422","189",""
"337158","Физалис","https://online.metro-cc.ru/products/fizalis-337158","219",""
"417016","Мангостин 2шт","https://online.metro-cc.ru/products/mangostin-250-g-417016","529",""
"470289","Гранат сортовой","https://online.metro-cc.ru/products/granat-1-kg","619",""
"120098","Питахайя красная","https://online.metro-cc.ru/products/pitahajya-krasnaya-120098","499",""
"114199","Кокос","https://online.metro-cc.ru/products/kokos-114199-114199","119",""
"586664","Айва весовая","https://online.metro-cc.ru/products/ajva-586664","359",""
"284925","Питахайя с красной мякотью","https://online.metro-cc.ru/products/pitahajya-s-krasnoj-myakotyu-284925","699",""
"341403","Манго спелое","https://online.metro-cc.ru/products/mango-zelenoe","859",""
"383946","Авокадо Ready to Eat Hass 2шт","https://online.metro-cc.ru/products/avokado-hass","229","259"
"124116","Питахайя весовая","https://online.metro-cc.ru/products/pitahaja","669",""
"135704","Манго желтое","https://online.metro-cc.ru/products/mango-zheltoe-135704-135704","399",""
"231686","Виноград белый Artfruit без косточки","https://online.metro-cc.ru/products/vinograd-belyy-bk-artfruit-500g","459",""
"243611","Манго мини Pur Delicio 250г x 4шт","https://online.metro-cc.ru/products/mango-mini-pur-delicio-250g-x-4sht","599",""
"231155","Яблоки Гренни Смит","https://online.metro-cc.ru/products/yabloki-grenni-smit-650g","135",""
"246810","Микс виноградный Artfruit 500г","https://online.metro-cc.ru/products/miks-vinogradnyy-artfruit-500g","369",""
"245055","Маракуйя фиолетовая Puro Delicio Gusto 2шт","https://online.metro-cc.ru/products/2sht-marakuyya-fioletovaya-puro-gusto","369",""
"19816","Гранадилла 2шт","https://online.metro-cc.ru/products/granadilla-kolumbiya-300-g-19816","499",""
"233413","Киви Ready to eat 3шт","https://online.metro-cc.ru/products/kivi-ready-to-eat-3sht-300g","159",""
"126059","Папайя весовая","https://online.metro-cc.ru/products/lajm-kaffirnyj","1 069",""
"119364","Лонган Artfruit 250г","https://online.metro-cc.ru/products/250g-longan","399",""
"557204","Перец красный","https://online.metro-cc.ru/products/perec-krasnyj-vesovoj-1-kg-557204","549",""
"481700","Огурцы гладкие","https://online.metro-cc.ru/products/ogurcy-gladkie-vesovye-1-kg","169","189"
"644600","Томаты розовые Азербайджан","https://online.metro-cc.ru/products/tomaty-rozovye-azerbajdzhan","399",""
"567204","Томаты весовые","https://online.metro-cc.ru/products/tomaty-567204","286",""
"567207","Кабачки весовые","https://online.metro-cc.ru/products/kabachki-567207","229",""
